Date : 2026-07-13 01:46:35
Directory : /home/admin/programming/C++/Korra/stegvideo
Total : 118 files,  61086 codes, 4772 comments, 3736 blanks, all 69594 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /home/admin/programming/C++/Korra/stegvideo/test/context/data/color_codec/rgb_palette2.json                    | JSON           |         72 |          0 |          0 |         72 |
| /home/admin/programming/C++/Korra/stegvideo/test/context/data/config/template.json                             | JSON           |         61 |          0 |          5 |         66 |
| /home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_37.json                          | JSON           |      8,088 |          0 |          0 |      8,088 |
| /home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_38.json                          | JSON           |        136 |          0 |          0 |        136 |
| /home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_39.json                          | JSON           |      6,168 |          0 |          0 |      6,168 |
| /home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_40.json                          | JSON           |         72 |          0 |          0 |         72 |
| /home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_41.json                          | JSON           |         48 |          0 |          0 |         48 |
| /home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_42.json                          | JSON           |        136 |          0 |          0 |        136 |
| /home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_43.json                          | JSON           |      1,968 |          0 |          0 |      1,968 |
| /home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_44.json                          | JSON           |        816 |          0 |          0 |        816 |
| /home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_45.json                          | JSON           |         40 |          0 |          0 |         40 |
| /home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_46.json                          | JSON           |      2,048 |          0 |          0 |      2,048 |
| /home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_47.json                          | JSON           |         64 |          0 |          0 |         64 |
| /home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_48.json                          | JSON           |         40 |          0 |          0 |         40 |
| /home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_49.json                          | JSON           |         56 |          0 |          0 |         56 |
| /home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_50.json                          | JSON           |      4,792 |          0 |          0 |      4,792 |
| /home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_51.json                          | JSON           |      2,800 |          0 |          0 |      2,800 |
| /home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_52.json                          | JSON           |         48 |          0 |          0 |         48 |
| /home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_53.json                          | JSON           |        168 |          0 |          0 |        168 |
| /home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_54.json                          | JSON           |        168 |          0 |          0 |        168 |
| /home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_55.json                          | JSON           |        448 |          0 |          0 |        448 |
| /home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_56.json                          | JSON           |      9,048 |          0 |          0 |      9,048 |
| /home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_57.json                          | JSON           |        208 |          0 |          0 |        208 |
| /home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_58.json                          | JSON           |        128 |          0 |          0 |        128 |
| /home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_59.json                          | JSON           |        560 |          0 |          0 |        560 |
| /home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_60.json                          | JSON           |        200 |          0 |          0 |        200 |
| /home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_61.json                          | JSON           |        200 |          0 |          0 |        200 |
| /home/admin/programming/C++/Korra/stegvideo/test/context/expected/frame/frame_62.json                          | JSON           |        104 |          0 |          0 |        104 |
| /home/admin/programming/C++/Korra/stegvideo/test/include/frame_io.hpp                                          | C++            |          9 |          0 |          3 |         12 |
| /home/admin/programming/C++/Korra/stegvideo/test/include/frame_meta.hpp                                        | C++            |         14 |          0 |          3 |         17 |
| /home/admin/programming/C++/Korra/stegvideo/test/include/io.hpp                                                | C++            |          9 |          0 |          1 |         10 |
| /home/admin/programming/C++/Korra/stegvideo/test/include/test.h                                                | C++            |         12 |          0 |          3 |         15 |
| /home/admin/programming/C++/Korra/stegvideo/test/lib/frame_io.cpp                                              | C++            |        181 |          2 |         33 |        216 |
| /home/admin/programming/C++/Korra/stegvideo/test/lib/test.c                                                    | C              |         59 |          0 |         15 |         74 |
